imgUrl,title,author,length,releaseDate,language,rating,price,sampleVideo
https://m.media-amazon.com/images/I/51BTZGexz8L._SL500_.jpg,Ridiculously Easy to Do Business With,David Avrin,3 hrs and 38 mins,09-17-24,English,Not rated yet,$13.99,https://samples.audible.com/bk/gdan/005762/bk_gdan_005762_sample.mp3
https://m.media-amazon.com/images/I/41FWvL3molL._SL500_.jpg,Truths,Vivek Ramaswamy,7 hrs and 18 mins,09-24-24,English,Not rated yet,$15.39,
https://m.media-amazon.com/images/I/51sk1JAsPzL._SL500_.jpg,And Then You,Briar Prescott,6 hrs and 53 mins,09-18-24,English,2 ratings,$19.95,https://samples.audible.com/bk/acx0/414577/bk_acx0_414577_sample.mp3
https://m.media-amazon.com/images/I/51aP+TOrIsL._SL500_.jpg,Feminine Energy Bible: 4 Books in 1,Clara Weston,10 hrs and 9 mins,09-19-24,English,14 ratings,$24.95,https://samples.audible.com/bk/acx0/414313/bk_acx0_414313_sample.mp3
https://m.media-amazon.com/images/I/51W6EjZ0O3L._SL500_.jpg,Practical Adept,Terry Mancour,30 hrs and 21 mins,09-24-24,English,Not rated yet,$59.99,
https://m.media-amazon.com/images/I/51qAtrBBwHL._SL500_.jpg,Junkyard Mercenary,Jamie McFarlane,10 hrs and 52 mins,09-18-24,English,Not rated yet,$24.95,https://samples.audible.com/bk/acx0/415318/bk_acx0_415318_sample.mp3
https://m.media-amazon.com/images/I/41IrdkfKShL._SL500_.jpg,Drumindor,Michael J. Sullivan,12 hrs and 45 mins,10-21-24,English,Not rated yet,$27.99,
https://m.media-amazon.com/images/I/41n9SIcVC-L._SL500_.jpg,The Late Lord Thorpe,Peter Grainger,14 hrs,10-29-24,English,Not rated yet,$20.99,
https://m.media-amazon.com/images/I/51nGkhBfM5L._SL500_.jpg,Succubus Summoner: The Complete Omnibus,Virgil Knightley,24 hrs and 49 mins,09-19-24,English,2 ratings,$54.99,https://samples.audible.com/bk/royg/000726/bk_royg_000726_sample.mp3
https://m.media-amazon.com/images/I/31Te4FBRY-L._SL500_.jpg,The Certainty Trap,Ilana Redstone,6 hrs and 53 mins,11-26-24,English,Not rated yet,$48.99,
